track,mode,verifier_count,trial,algorithm,elapsed_ms,repetitions,success,failure,error,signature_bytes,m_rcpt_bytes,receipt_bytes,open_bytes
GPV-M,optimized-hybrid,8,0,audit_keygen,671.2826000002678,1,1,0,0,1221826,90096,188678,91184
GPV-M,optimized-hybrid,8,0,judge,1224.7690000003786,1,1,0,0,1221826,90096,188678,91184
GPV-M,optimized-hybrid,8,0,keygen,29616.62207999907,1,1,0,0,1221826,90096,188678,91184
GPV-M,optimized-hybrid,8,0,open_receipt,226.90329999750247,1,1,0,0,1221826,90096,188678,91184
GPV-M,optimized-hybrid,8,0,proxy_authorize,30.515300000843126,1,1,0,0,1221826,90096,188678,91184
GPV-M,optimized-hybrid,8,0,proxy_keygen,510.1624000017182,1,1,0,0,1221826,90096,188678,91184
GPV-M,optimized-hybrid,8,0,proxy_sign,1070.3877999985707,1,1,0,0,1221826,90096,188678,91184
GPV-M,optimized-hybrid,8,0,receipt_gen,652.4725000053877,1,1,0,0,1221826,90096,188678,91184
GPV-M,optimized-hybrid,8,0,verify,689.2851000011433,1,1,0,0,1221826,90096,188678,91184
GPV-M,optimized-hybrid,8,1,audit_keygen,571.7276000068523,1,1,0,0,1221826,90096,188674,91184
GPV-M,optimized-hybrid,8,1,judge,1172.583500003384,1,1,0,0,1221826,90096,188674,91184
GPV-M,optimized-hybrid,8,1,keygen,30375.19530999998,1,1,0,0,1221826,90096,188674,91184
GPV-M,optimized-hybrid,8,1,open_receipt,226.43110000353772,1,1,0,0,1221826,90096,188674,91184
GPV-M,optimized-hybrid,8,1,proxy_authorize,46.94469999958528,1,1,0,0,1221826,90096,188674,91184
GPV-M,optimized-hybrid,8,1,proxy_keygen,494.1303000014159,1,1,0,0,1221826,90096,188674,91184
GPV-M,optimized-hybrid,8,1,proxy_sign,1093.2841000030749,1,1,0,0,1221826,90096,188674,91184
GPV-M,optimized-hybrid,8,1,receipt_gen,651.3894999952754,1,1,0,0,1221826,90096,188674,91184
GPV-M,optimized-hybrid,8,1,verify,705.7888999988791,1,1,0,0,1221826,90096,188674,91184
GPV-M,optimized-hybrid,8,2,audit_keygen,548.444300002302,1,1,0,0,1221826,90096,188682,91184
GPV-M,optimized-hybrid,8,2,judge,1006.4872000002651,1,1,0,0,1221826,90096,188682,91184
GPV-M,optimized-hybrid,8,2,keygen,30305.313449998357,1,1,0,0,1221826,90096,188682,91184
GPV-M,optimized-hybrid,8,2,open_receipt,190.2293000021018,1,1,0,0,1221826,90096,188682,91184
GPV-M,optimized-hybrid,8,2,proxy_authorize,23.26280000124825,1,1,0,0,1221826,90096,188682,91184
GPV-M,optimized-hybrid,8,2,proxy_keygen,433.18469999940135,1,1,0,0,1221826,90096,188682,91184
GPV-M,optimized-hybrid,8,2,proxy_sign,940.9994000016013,1,1,0,0,1221826,90096,188682,91184
GPV-M,optimized-hybrid,8,2,receipt_gen,541.7921000043862,1,1,0,0,1221826,90096,188682,91184
GPV-M,optimized-hybrid,8,2,verify,609.3347999994876,1,1,0,0,1221826,90096,188682,91184
GPV-M,optimized-hybrid,8,3,audit_keygen,591.544499999145,1,1,0,0,1221826,90096,188679,91184
GPV-M,optimized-hybrid,8,3,judge,1104.668899999524,1,1,0,0,1221826,90096,188679,91184
GPV-M,optimized-hybrid,8,3,keygen,28566.417300000467,1,1,0,0,1221826,90096,188679,91184
GPV-M,optimized-hybrid,8,3,open_receipt,271.7673999941326,1,1,0,0,1221826,90096,188679,91184
GPV-M,optimized-hybrid,8,3,proxy_authorize,26.211099997453857,1,1,0,0,1221826,90096,188679,91184
GPV-M,optimized-hybrid,8,3,proxy_keygen,442.1989999973448,1,1,0,0,1221826,90096,188679,91184
GPV-M,optimized-hybrid,8,3,proxy_sign,899.8043999963556,1,1,0,0,1221826,90096,188679,91184
GPV-M,optimized-hybrid,8,3,receipt_gen,601.8907000034233,1,1,0,0,1221826,90096,188679,91184
GPV-M,optimized-hybrid,8,3,verify,677.5612999990699,1,1,0,0,1221826,90096,188679,91184
GPV-M,optimized-hybrid,8,4,audit_keygen,489.57859999791253,1,1,0,0,1221826,90096,188676,91184
GPV-M,optimized-hybrid,8,4,judge,999.1099999970174,1,1,0,0,1221826,90096,188676,91184
GPV-M,optimized-hybrid,8,4,keygen,30771.574729998974,1,1,0,0,1221826,90096,188676,91184
GPV-M,optimized-hybrid,8,4,open_receipt,191.5313999998034,1,1,0,0,1221826,90096,188676,91184
GPV-M,optimized-hybrid,8,4,proxy_authorize,24.29619999747956,1,1,0,0,1221826,90096,188676,91184
GPV-M,optimized-hybrid,8,4,proxy_keygen,426.7302000007476,1,1,0,0,1221826,90096,188676,91184
GPV-M,optimized-hybrid,8,4,proxy_sign,922.8059999950347,1,1,0,0,1221826,90096,188676,91184
GPV-M,optimized-hybrid,8,4,receipt_gen,522.6027000026079,1,1,0,0,1221826,90096,188676,91184
GPV-M,optimized-hybrid,8,4,verify,602.6101999959792,1,1,0,0,1221826,90096,188676,91184
