track,mode,verifier_count,trial,algorithm,elapsed_ms,repetitions,success,failure,error,signature_bytes,m_rcpt_bytes,receipt_bytes,open_bytes
GPV-S,optimized-hybrid,1,0,audit_keygen,215.75560000201222,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,0,judge,148.30349999829195,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,0,keygen,939.8965000000317,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,0,open_receipt,24.32970000518253,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,0,proxy_authorize,3.852400004689116,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,0,proxy_keygen,91.98130000004312,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,0,proxy_sign,49.40319999877829,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,0,receipt_gen,92.05379999912111,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,0,verify,88.4239000006346,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,1,audit_keygen,207.27769999939483,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,1,judge,148.43649999966146,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,1,keygen,898.0752666660313,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,1,open_receipt,22.356800000125077,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,1,proxy_authorize,3.757800004677847,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,1,proxy_keygen,91.44560000277124,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,1,proxy_sign,51.935499999672174,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,1,receipt_gen,89.32719999575056,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,1,verify,89.6498000001884,1,1,0,0,136745,77263,160046,77871
GPV-S,optimized-hybrid,1,2,audit_keygen,209.02989999740385,1,1,0,0,136745,77263,160036,77871
GPV-S,optimized-hybrid,1,2,judge,145.30289999675006,1,1,0,0,136745,77263,160036,77871
GPV-S,optimized-hybrid,1,2,keygen,929.3169999994765,1,1,0,0,136745,77263,160036,77871
GPV-S,optimized-hybrid,1,2,open_receipt,23.514200001955032,1,1,0,0,136745,77263,160036,77871
GPV-S,optimized-hybrid,1,2,proxy_authorize,3.566800005501136,1,1,0,0,136745,77263,160036,77871
GPV-S,optimized-hybrid,1,2,proxy_keygen,93.03930000169203,1,1,0,0,136745,77263,160036,77871
GPV-S,optimized-hybrid,1,2,proxy_sign,51.28710000280989,1,1,0,0,136745,77263,160036,77871
GPV-S,optimized-hybrid,1,2,receipt_gen,88.5917999985395,1,1,0,0,136745,77263,160036,77871
GPV-S,optimized-hybrid,1,2,verify,87.02590000029886,1,1,0,0,136745,77263,160036,77871
GPV-S,optimized-hybrid,1,3,audit_keygen,205.4329000020516,1,1,0,0,136745,77263,160044,77871
GPV-S,optimized-hybrid,1,3,judge,144.31870000407798,1,1,0,0,136745,77263,160044,77871
GPV-S,optimized-hybrid,1,3,keygen,929.2083000012402,1,1,0,0,136745,77263,160044,77871
GPV-S,optimized-hybrid,1,3,open_receipt,22.87350000551669,1,1,0,0,136745,77263,160044,77871
GPV-S,optimized-hybrid,1,3,proxy_authorize,3.9574000038555823,1,1,0,0,136745,77263,160044,77871
GPV-S,optimized-hybrid,1,3,proxy_keygen,91.73530000407482,1,1,0,0,136745,77263,160044,77871
GPV-S,optimized-hybrid,1,3,proxy_sign,51.29510000551818,1,1,0,0,136745,77263,160044,77871
GPV-S,optimized-hybrid,1,3,receipt_gen,86.15099999587983,1,1,0,0,136745,77263,160044,77871
GPV-S,optimized-hybrid,1,3,verify,85.93719999771565,1,1,0,0,136745,77263,160044,77871
GPV-S,optimized-hybrid,1,4,audit_keygen,203.7583000055747,1,1,0,0,136745,77263,160040,77871
GPV-S,optimized-hybrid,1,4,judge,143.75289999588858,1,1,0,0,136745,77263,160040,77871
GPV-S,optimized-hybrid,1,4,keygen,895.6354666661355,1,1,0,0,136745,77263,160040,77871
GPV-S,optimized-hybrid,1,4,open_receipt,23.426699997799005,1,1,0,0,136745,77263,160040,77871
GPV-S,optimized-hybrid,1,4,proxy_authorize,4.566000003251247,1,1,0,0,136745,77263,160040,77871
GPV-S,optimized-hybrid,1,4,proxy_keygen,90.86979999847244,1,1,0,0,136745,77263,160040,77871
GPV-S,optimized-hybrid,1,4,proxy_sign,49.021700004232116,1,1,0,0,136745,77263,160040,77871
GPV-S,optimized-hybrid,1,4,receipt_gen,87.36470000440022,1,1,0,0,136745,77263,160040,77871
GPV-S,optimized-hybrid,1,4,verify,88.19129999756115,1,1,0,0,136745,77263,160040,77871
