track,mode,verifier_count,trial,algorithm,elapsed_ms,repetitions,success,failure,error,signature_bytes,m_rcpt_bytes,receipt_bytes,open_bytes
GPV-S,optimized-hybrid,16,0,audit_keygen,203.89260000229115,1,1,0,0,1156031,77263,160026,77871
GPV-S,optimized-hybrid,16,0,judge,655.7453999994323,1,1,0,0,1156031,77263,160026,77871
GPV-S,optimized-hybrid,16,0,keygen,942.1835833333413,1,1,0,0,1156031,77263,160026,77871
GPV-S,optimized-hybrid,16,0,open_receipt,179.1025999991689,1,1,0,0,1156031,77263,160026,77871
GPV-S,optimized-hybrid,16,0,proxy_authorize,4.128299995500129,1,1,0,0,1156031,77263,160026,77871
GPV-S,optimized-hybrid,16,0,proxy_keygen,92.15820000099484,1,1,0,0,1156031,77263,160026,77871
GPV-S,optimized-hybrid,16,0,proxy_sign,479.3959999951767,1,1,0,0,1156031,77263,160026,77871
GPV-S,optimized-hybrid,16,0,receipt_gen,403.23740000167163,1,1,0,0,1156031,77263,160026,77871
GPV-S,optimized-hybrid,16,0,verify,266.82950000395067,1,1,0,0,1156031,77263,160026,77871
GPV-S,optimized-hybrid,16,1,audit_keygen,207.42559999780497,1,1,0,0,1156031,77263,160042,77871
GPV-S,optimized-hybrid,16,1,judge,640.044100000523,1,1,0,0,1156031,77263,160042,77871
GPV-S,optimized-hybrid,16,1,keygen,907.5194277769091,1,1,0,0,1156031,77263,160042,77871
GPV-S,optimized-hybrid,16,1,open_receipt,183.9971000008518,1,1,0,0,1156031,77263,160042,77871
GPV-S,optimized-hybrid,16,1,proxy_authorize,5.324599995219614,1,1,0,0,1156031,77263,160042,77871
GPV-S,optimized-hybrid,16,1,proxy_keygen,92.41910000127973,1,1,0,0,1156031,77263,160042,77871
GPV-S,optimized-hybrid,16,1,proxy_sign,487.62929999793414,1,1,0,0,1156031,77263,160042,77871
GPV-S,optimized-hybrid,16,1,receipt_gen,414.5582000055583,1,1,0,0,1156031,77263,160042,77871
GPV-S,optimized-hybrid,16,1,verify,269.2566000041552,1,1,0,0,1156031,77263,160042,77871
GPV-S,optimized-hybrid,16,2,audit_keygen,210.9058999994886,1,1,0,0,1156031,77263,160025,77871
GPV-S,optimized-hybrid,16,2,judge,634.2452000026242,1,1,0,0,1156031,77263,160025,77871
GPV-S,optimized-hybrid,16,2,keygen,910.48664999956,1,1,0,0,1156031,77263,160025,77871
GPV-S,optimized-hybrid,16,2,open_receipt,177.87429999589222,1,1,0,0,1156031,77263,160025,77871
GPV-S,optimized-hybrid,16,2,proxy_authorize,4.249500001606066,1,1,0,0,1156031,77263,160025,77871
GPV-S,optimized-hybrid,16,2,proxy_keygen,87.97120000235736,1,1,0,0,1156031,77263,160025,77871
GPV-S,optimized-hybrid,16,2,proxy_sign,491.1357999953907,1,1,0,0,1156031,77263,160025,77871
GPV-S,optimized-hybrid,16,2,receipt_gen,394.0443999963463,1,1,0,0,1156031,77263,160025,77871
GPV-S,optimized-hybrid,16,2,verify,269.9661000006017,1,1,0,0,1156031,77263,160025,77871
GPV-S,optimized-hybrid,16,3,audit_keygen,209.14690000063274,1,1,0,0,1156031,77263,160051,77871
GPV-S,optimized-hybrid,16,3,judge,637.4671000012313,1,1,0,0,1156031,77263,160051,77871
GPV-S,optimized-hybrid,16,3,keygen,927.9872999989797,1,1,0,0,1156031,77263,160051,77871
GPV-S,optimized-hybrid,16,3,open_receipt,180.69970000215108,1,1,0,0,1156031,77263,160051,77871
GPV-S,optimized-hybrid,16,3,proxy_authorize,7.263899999088608,1,1,0,0,1156031,77263,160051,77871
GPV-S,optimized-hybrid,16,3,proxy_keygen,94.304899997951,1,1,0,0,1156031,77263,160051,77871
GPV-S,optimized-hybrid,16,3,proxy_sign,501.02350000088336,1,1,0,0,1156031,77263,160051,77871
GPV-S,optimized-hybrid,16,3,receipt_gen,402.7511999956914,1,1,0,0,1156031,77263,160051,77871
GPV-S,optimized-hybrid,16,3,verify,269.3671000015456,1,1,0,0,1156031,77263,160051,77871
GPV-S,optimized-hybrid,16,4,audit_keygen,203.7324000048102,1,1,0,0,1156031,77263,160052,77871
GPV-S,optimized-hybrid,16,4,judge,645.4233000040404,1,1,0,0,1156031,77263,160052,77871
GPV-S,optimized-hybrid,16,4,keygen,949.3685611115426,1,1,0,0,1156031,77263,160052,77871
GPV-S,optimized-hybrid,16,4,open_receipt,178.89039999863598,1,1,0,0,1156031,77263,160052,77871
GPV-S,optimized-hybrid,16,4,proxy_authorize,4.340200001024641,1,1,0,0,1156031,77263,160052,77871
GPV-S,optimized-hybrid,16,4,proxy_keygen,90.21390000270912,1,1,0,0,1156031,77263,160052,77871
GPV-S,optimized-hybrid,16,4,proxy_sign,494.623300000967,1,1,0,0,1156031,77263,160052,77871
GPV-S,optimized-hybrid,16,4,receipt_gen,404.4493999972474,1,1,0,0,1156031,77263,160052,77871
GPV-S,optimized-hybrid,16,4,verify,268.4222000025329,1,1,0,0,1156031,77263,160052,77871
