track,mode,verifier_count,trial,algorithm,elapsed_ms,repetitions,success,failure,error,signature_bytes,m_rcpt_bytes,receipt_bytes,open_bytes
GPV-S,optimized-hybrid,8,0,audit_keygen,244.14229999820236,1,1,0,0,612402,77263,160039,77871
GPV-S,optimized-hybrid,8,0,judge,470.88760000042384,1,1,0,0,612402,77263,160039,77871
GPV-S,optimized-hybrid,8,0,keygen,1167.2550599992974,1,1,0,0,612402,77263,160039,77871
GPV-S,optimized-hybrid,8,0,open_receipt,127.19990000186954,1,1,0,0,612402,77263,160039,77871
GPV-S,optimized-hybrid,8,0,proxy_authorize,6.217800000740681,1,1,0,0,612402,77263,160039,77871
GPV-S,optimized-hybrid,8,0,proxy_keygen,101.39329999947222,1,1,0,0,612402,77263,160039,77871
GPV-S,optimized-hybrid,8,0,proxy_sign,306.61130000225967,1,1,0,0,612402,77263,160039,77871
GPV-S,optimized-hybrid,8,0,receipt_gen,289.2005000030622,1,1,0,0,612402,77263,160039,77871
GPV-S,optimized-hybrid,8,0,verify,200.16279999981634,1,1,0,0,612402,77263,160039,77871
GPV-S,optimized-hybrid,8,1,audit_keygen,240.04340000101365,1,1,0,0,612402,77263,160044,77871
GPV-S,optimized-hybrid,8,1,judge,456.70060000702506,1,1,0,0,612402,77263,160044,77871
GPV-S,optimized-hybrid,8,1,keygen,1149.5147200002975,1,1,0,0,612402,77263,160044,77871
GPV-S,optimized-hybrid,8,1,open_receipt,115.68640000041341,1,1,0,0,612402,77263,160044,77871
GPV-S,optimized-hybrid,8,1,proxy_authorize,6.250800004636403,1,1,0,0,612402,77263,160044,77871
GPV-S,optimized-hybrid,8,1,proxy_keygen,104.21810000116238,1,1,0,0,612402,77263,160044,77871
GPV-S,optimized-hybrid,8,1,proxy_sign,283.65279999707127,1,1,0,0,612402,77263,160044,77871
GPV-S,optimized-hybrid,8,1,receipt_gen,293.16649999964284,1,1,0,0,612402,77263,160044,77871
GPV-S,optimized-hybrid,8,1,verify,195.93300000269664,1,1,0,0,612402,77263,160044,77871
GPV-S,optimized-hybrid,8,2,audit_keygen,242.73949999769684,1,1,0,0,612402,77263,160033,77871
GPV-S,optimized-hybrid,8,2,judge,460.23339999374,1,1,0,0,612402,77263,160033,77871
GPV-S,optimized-hybrid,8,2,keygen,1130.2210699999705,1,1,0,0,612402,77263,160033,77871
GPV-S,optimized-hybrid,8,2,open_receipt,113.29970000224421,1,1,0,0,612402,77263,160033,77871
GPV-S,optimized-hybrid,8,2,proxy_authorize,4.412100002809893,1,1,0,0,612402,77263,160033,77871
GPV-S,optimized-hybrid,8,2,proxy_keygen,132.08989999839105,1,1,0,0,612402,77263,160033,77871
GPV-S,optimized-hybrid,8,2,proxy_sign,317.0998999994481,1,1,0,0,612402,77263,160033,77871
GPV-S,optimized-hybrid,8,2,receipt_gen,275.6618999992497,1,1,0,0,612402,77263,160033,77871
GPV-S,optimized-hybrid,8,2,verify,203.9985000010347,1,1,0,0,612402,77263,160033,77871
GPV-S,optimized-hybrid,8,3,audit_keygen,233.13499999494525,1,1,0,0,612402,77263,160049,77871
GPV-S,optimized-hybrid,8,3,judge,486.7128000041703,1,1,0,0,612402,77263,160049,77871
GPV-S,optimized-hybrid,8,3,keygen,1102.0701999994344,1,1,0,0,612402,77263,160049,77871
GPV-S,optimized-hybrid,8,3,open_receipt,122.36029999621678,1,1,0,0,612402,77263,160049,77871
GPV-S,optimized-hybrid,8,3,proxy_authorize,5.616300004476216,1,1,0,0,612402,77263,160049,77871
GPV-S,optimized-hybrid,8,3,proxy_keygen,107.8680999999051,1,1,0,0,612402,77263,160049,77871
GPV-S,optimized-hybrid,8,3,proxy_sign,283.69630000088364,1,1,0,0,612402,77263,160049,77871
GPV-S,optimized-hybrid,8,3,receipt_gen,305.3702999968664,1,1,0,0,612402,77263,160049,77871
GPV-S,optimized-hybrid,8,3,verify,204.23070000106236,1,1,0,0,612402,77263,160049,77871
GPV-S,optimized-hybrid,8,4,audit_keygen,237.77680000057444,1,1,0,0,612402,77263,160032,77871
GPV-S,optimized-hybrid,8,4,judge,482.8073000026052,1,1,0,0,612402,77263,160032,77871
GPV-S,optimized-hybrid,8,4,keygen,1165.5392799984838,1,1,0,0,612402,77263,160032,77871
GPV-S,optimized-hybrid,8,4,open_receipt,122.65230000048177,1,1,0,0,612402,77263,160032,77871
GPV-S,optimized-hybrid,8,4,proxy_authorize,5.803699998068623,1,1,0,0,612402,77263,160032,77871
GPV-S,optimized-hybrid,8,4,proxy_keygen,106.6967000006116,1,1,0,0,612402,77263,160032,77871
GPV-S,optimized-hybrid,8,4,proxy_sign,313.95250000059605,1,1,0,0,612402,77263,160032,77871
GPV-S,optimized-hybrid,8,4,receipt_gen,331.6835000005085,1,1,0,0,612402,77263,160032,77871
GPV-S,optimized-hybrid,8,4,verify,214.09639999910723,1,1,0,0,612402,77263,160032,77871
